title;desc;long_desc;long_desc;start_date;end_date;location_uid;link;img;keyword;location_name
Writers – 20 ans de graffiti;De Marc-Aurèle Vecchione │ 90 min │ 2004 │ Résistance Films;L’histoire du graffiti à Paris, à travers des interviews et des archives exclusives… En 1982, le graffiti apparaît en France sous l’impulsion de quelques adolescents attirés par l’aventure, le jeu ou la révolte… Aujourd’hui, le graffiti fait partie intégrante de la ville…;En partenariat avec l’association Hip-Hop New School.;2024-11-06T14:00:00+0200;2024-11-06T16:00:00+0200;64345896;https://www.cca.bzh/evenements/mois-du-film-documentaire/;https://www.cca.bzh/app/uploads/2024/09/WRITERS.jpg;CCA-Le-Mois-Du-Film-Docu-FR3; MÉDIATHÈQUE D’ELLIANT
Vendanges en utopie;De Gérard Alle │ 52 min │ 2024 │ Tita B Productions;La Bretagne serait-elle en train de devenir le nouvel eldorado du vin ? Interdite jusqu’en 2016, la viticulture y est aujourd’hui en plein essor. Renouant avec une histoire méconnue, les nouveaux vignerons bretons sont des pionniers. En dépit des difficultés, ils inventent, sur un modèle vertueux, les vins bretons de demain. Avec les vignerons Mathieu Le Saux et Noémie Vallélian (Groix), Loïc Fourure (Theix), Edouard Cazals (St Jouan les Guérets) et Jean Donnio (Le Quillio), ainsi que les viticulteurs de l’Association pour la reconnaissance des vins bretons.;Séance accompagnée par le réalisateur Gérard Alle.;2024-11-13T19:00:00+0200;2024-11-13T21:00:00+0200;87389099;https://www.cca.bzh/evenements/mois-du-film-documentaire/;;CCA-Le-Mois-Du-Film-Docu-FR3; MÉDIATHÈQUE DE TOURC’H
Pastel;De Salomé Méchin │ 90 min │ 2018;Le film invite à redécouvrir le pastel à travers la matière. Le documentaire explore les facettes de ce médium au travers de riches rencontres : une fabricante de pastel artisanal, un pastelliste contemporain, une historienne de l’art et une restauratrice d’arts graphiques, révélant les enjeux de ces œuvres si fragiles.;Séance accompagnée par la réalisatrice Salomé Méchin.;2024-11-15T18:00:00+0200;2024-11-15T20:00:00+0200;52873907;https://www.cca.bzh/evenements/mois-du-film-documentaire/;https://www.cca.bzh/app/uploads/2024/09/PASTEL.jpg;CCA-Le-Mois-Du-Film-Docu-FR3; MUSÉE DE PONT-AVEN
Au cœur du Bélon;De Erwan Babin et Florian Stéphant │ 52 min │ 2024 │ Tita B Productions;Erwann et Florian décident de remonter la rivière du Bélon de son embouchure jusqu’à sa source, en restant au plus près de la rivière, à la manière d’explorateurs qui suivraient un étroit corridor sauvage. Leur expédition commence par la ria, la partie très connue du Bélon, mais très vite leur pédalo ne peut plus avancer, la rivière n’est plus navigable. Ils abandonnent alors leur embarcation et s’enfoncent dans une jungle faite de ronces, d’orties et de carex le long de cette rivière en grande partie abandonnée. Tout au long de cet inconfortable trajet, les deux aventuriers rencontrent des connaisseurs et usagers du Bélon qui leur parlent des spécificités de la rivière : la riche biodiversité des marais, la maîtrise du cours d’eau au milieu des grands champs issus du remembrement, le patrimoine oublié dont on devine encore les traces le long des berges.;Séance accompagnée par les réalisateurs Erwan Babin et Stéphane Florian.;2024-11-16T10:30:00+0200;2024-11-16T12:30:00+0200;87389099;https://www.cca.bzh/evenements/mois-du-film-documentaire/;;CCA-Le-Mois-Du-Film-Docu-FR3; MÉDIATHÈQUE DE TOURC’H
Suzanne Jour Après Jour;De Stéphane Manchematin et Serge Steyer │ 82 min │ 2023 │ Les films de la pluie – Ana Films;« On verra bien ! » Suzanne prend la vie comme elle vient, avec calme et sérénité. Elle vit seule dans la ferme qui l’a vue naître en 1930, en lisière d’une forêt des Hautes-Vosges. La maison n’est raccordée ni à l’eau ni à l’électricité. Au gré des saisons, Suzanne cultive son potager, prépare ses conserves, lit la presse, marche dans la montagne, accueille les visiteurs de passage. Elle savoure en riant tous les petits    plaisirs de la vie, s’amusant d’incarner cette sobriété heureuse à laquelle aspirent ses contemporains.;Séance accompagnée par le co-réalisateur Serge Steyer.;2024-11-19T19:00:00+0200;2024-11-19T21:00:00+0200;31001182;https://www.cca.bzh/evenements/mois-du-film-documentaire/;;CCA-Le-Mois-Du-Film-Docu-FR3; MÉDIATHÈQUE DE NÉVEZ
Mascarades;De Claire Second │ 59 min │ 2023 │ Les films du temps scellé;Dans les Hauts-Plateaux boliviens, les habitants et habitantes du village de Tomave cultivent du quinoa et élèvent des lamas. Ils se déguisent, chantent et rient pour appeler la pluie et lancent pétards et confettis pour la Terre-Mère. Mais des ingénieurs agronomes venus de la ville rôdent autour du village, des technologies agricoles plein les bras, bien décidés à rationaliser les pratiques. C’est le prélude d’une étrange mascarade.;Séance accompagnée par le scénariste.;2024-11-20T19:00:00+0200;2024-11-20T21:00:00+0200;31482342;https://www.cca.bzh/evenements/mois-du-film-documentaire/;;CCA-Le-Mois-Du-Film-Docu-FR3; MÉDIATHÈQUE DE MELGVEN
Dans les bras d'un matelot;De Marie Benoist │ 55 min │ 2019 │ Les docs du Nord;À quoi rêvent les femmes de marins ? D’amour et d’eau salée ? Pas forcément ou pas toujours… Devenue femme de marin par hasard, la réalisatrice Marie Benoist se lance à la rencontre de ces aventurières du quotidien, sur la côte d’Opale, en Normandie, jusqu’en Bretagne. En partant de l’imaginaire attaché à cette figure elle tente de comprendre la réalité de ces femmes d’aujourd’hui, pour peut-être découvrir que les “femmes de marins” ne sont pas forcément des “femmes de chagrin” mais les exploratrices d’une autre façon d’aimer, quand la mer vous sépare…;Séance accompagnée par la réalisatrice Marie Benoist.;2024-11-21T18:00:00+0200;2024-11-21T20:00:00+0200;58508752;https://www.cca.bzh/evenements/mois-du-film-documentaire/;;CCA-Le-Mois-Du-Film-Docu-FR3; MUSÉE DE LA PÊCHE
Frieda TV;De Léa Lanoé │ 78 min │ 2024 │Mille et Une. Films;Frieda a débarqué dans ma vie. Elle vit dans la Karl-Kunger Strasse à Berlin. Frieda, c’est aussi Janett ou Matthias, c’est selon. Elle change de nom, de sexe, de diagnostic, quand ça lui chante. Frieda se heurte au monde, à sa maladie… Chaque jour est une aventure, avec ses résolutions et ses obstacles, et pourtant elle continue son travail de perturbatrice avec sa force d’inventivité et de destruction. Avec la caméra, je l’accompagne, nous jouons, nous nous questionnons, elle se confie. Ce film est le portrait d’une poète de rue berlinoise, vu par le prisme de notre amitié.;Séance accompagnée par la réalisatrice Léa Lanoé.;2024-11-21T18:00:00+0200;2024-11-21T20:00:00+0200;56999968;https://www.cca.bzh/evenements/mois-du-film-documentaire/;https://www.cca.bzh/app/uploads/2024/09/%C2%A9MilleEtUneFilms_FRIEDA_Photo1.jpg;CCA-Le-Mois-Du-Film-Docu-FR3; MÉDIATHÈQUE DE ROSPORDEN
Vers un territoire low-tech;De Corto Lassus │ 45 min │ 2024 │ Production Low Tech Lab;Vingt organisations de l’agglomération de Concarneau Cornouaille se sont lancées en 2022 dans une expérimentation inédite : avec l’aide du Low-tech Lab, et le soutien de CCA, l’ADEME et de la région Bretagne, ces différents acteurs publics, privés, associatifs ont découvert, appris, testé des pratiques et façons de faire plus sobres, plus locales, plus naturels, bref : plus low-tech ! Le film revient de façon non exhaustive et sensible sur certaines de ces expérimentations menées pendant cette année passée.;Séance accompagnée par le réalisateur Corto Lassus ou d’un membre du LowTech Lab.;2024-11-23T15:00:00+0200;2024-11-23T17:00:00+0200;9527696;https://www.cca.bzh/evenements/mois-du-film-documentaire/;;CCA-Le-Mois-Du-Film-Docu-FR3; MÉDIATHÈQUE DE CONCARNEAU
Soul Kids;De Hugo Sobelman │ 75 min │ 2020 │ Gogogofilms;À Memphis, une des villes américaines les plus sinistrées, la Stax Music Academy fait figure d’oasis. Fondée sur l’héritage du label légendaire des années soixante qui accompagna la lutte pour les droits civiques, cette école de musique, extrascolaire et gratuite, permet à des adolescents passionnés d’apprendre et de comprendre l’Histoire noire américaine à travers la découverte des plus grands tubes de la soul. Un voyage musical dans le temps et une plongée dans la pensée d’une nouvelle génération.;Une projection proposée par la médiathèque de Concarneau. Séance scolaire ouverte au public dans la limite des places disponibles, et accompagnée par le réalisateur Hugo Sobelman.;2024-11-26T14:00:00+0200;2024-11-26T16:00:00+0200;24412066;https://www.cca.bzh/evenements/mois-du-film-documentaire/;;CCA-Le-Mois-Du-Film-Docu-FR3; CINÉVILLE
La Harpe de Kristen;De Pauline Burguin et François Gorin │ 52 min │ 2024 │ Paris Brest Productions;Une femme et son instrument. Son histoire, bretonne, joyeuse et douloureuse. Sa musique, qui se cherche entre folk et jazz, tradition et avant-garde. Sa quête d’absolu. Sa fin précoce. Le portrait de Kristen Noguès, harpiste de génie, recomposé par celles et ceux qui l’ont connue et aimée.;Séance accompagnée par les réalisateurs Pauline Burguin et François Gorin.;2024-11-26T20:30:00+0200;2024-11-26T22:30:00+0200;55624267;https://www.cca.bzh/evenements/mois-du-film-documentaire/;https://www.cca.bzh/app/uploads/2024/09/KRI-3-HD.jpg;CCA-Le-Mois-Du-Film-Docu-FR3; MÉDIATHÈQUE DE SAINT-YVI
Voyage De Documentation De Madame Anita Conti;De Louise Hémon │ 38 min │ 2023 │ Hutong Productions;Première femme océanographe française à pénétrer le monde fermé des marins, Anita Conti embarque en 1952 sur un chalutier pour partager la dure vie des pêcheurs de morue en Atlantique. Seule avec sa caméra, ses appareils photo et soixante hommes durant six mois. Partant de ses images, d’extraits lus de ses journaux de bord et d’archives audio de sa voix, le film dessine le portrait de cette femme pionnière qui avait pressenti la nécessité de la protection des océans.;Une projection proposée par la médiathèque de Trégunc. Séance accompagnée par la scénariste Aurélie Brousse.;2024-11-27T18:00:00+0200;2024-11-27T20:00:00+0200;89326663;https://www.cca.bzh/evenements/mois-du-film-documentaire/;;CCA-Le-Mois-Du-Film-Docu-FR3; MJC LE STÉRENN DE TRÉGUNC
Queens in Finistère;De Vanessa Le Reste │ 80 min │ 2024 │ Quatre et Demi, Dahud Prod;Anthony a 35 ans et possède une extension féminine délurée, l’exubérante BRITANY HART : Drag Queen quimpéroise 100 % Queer Amann et Mother Drag de la famille Hart. Talons de 20 centimètres, perruques flamboyantes, maquillages délirants et langues bien pendues, Britany et ses filles réveillent les nuits bretonnes et la petite préfecture du Finistère, que beaucoup surnomment la belle endormie… Et en ce début d’année 2023, tous leurs faux cils sont tendus vers l’organisation de la seconde édition de la Marche des Fiertés de Quimper : la fameuse QUEER AMANN, vitrine de la communauté LGBTQIA+ où des milliers de jeunes et moins jeunes venu.es des bourgades et campagnes environnantes viennent faire la fête, portant haut et fort le drapeau Arc-en-ciel et ses valeurs festives et inclusives !;Séance accompagnée par la réalisatrice Vanessa Le Reste.;2024-11-28T18:00:00+0200;2024-11-28T20:00:00+0200;56999968;https://www.cca.bzh/evenements/mois-du-film-documentaire/;;CCA-Le-Mois-Du-Film-Docu-FR3; MÉDIATHÈQUE DE ROSPORDEN
Dans la Peau d'un Végan;De Mathurin Peschet │ 52 min │ 2023 │ Mille et Une. Films;De plus en plus influents, les militants de la cause animale œuvrent pour que l’humanité cesse d’exploiter les animaux. De mon côté, je suis depuis toujours omnivore. Mais depuis quelque temps une question me taraude : pourquoi continuer à tuer des animaux si on peut faire autrement ? Pour mieux comprendre, je me lance un défi : être végan pendant 100 jours !;Séance accompagnée par le réalisateur Mathurin Peschet.;2024-11-30T14:00:00+0200;2024-11-30T16:00:00+0200;6135974;https://www.cca.bzh/evenements/mois-du-film-documentaire/;;CCA-Le-Mois-Du-Film-Docu-FR3; MÉDIATHÈQUE DE PONT-AVEN
