"agenda_listing_mois","agenda_listing_spectacle_hover href","agenda_listing_spectacle_image src","agenda_listing_spectacle_title","agenda_listing_spectacle_inner_top_style","agenda_listing_spectacle_inner_top_date_inner_left","agenda_listing_spectacle_inner_top_date_inner_left 2","agenda_listing_spectacle_inner_top_date_inner_right","agenda_listing_spectacle_title 2","agenda_listing_spectacle_inner_partie"
"OcTobre","https://www.lesarcs.bzh/spectacles/sidilarsen-madam-dropdead-chaos/","https://www.lesarcs.bzh/wp-content/uploads/2024/05/sidilarsen-listing-24-25.jpg","Sidilarsen | Madam | Dropdead Chaos","Métal","sam 12 oct","2024","20h","",""
"","https://www.lesarcs.bzh/spectacles/mes-souliers-sont-rouges/","https://www.lesarcs.bzh/wp-content/uploads/2024/05/mssr-2-listing-24-25.jpg","Mes Souliers Sont Rouges","Chanson","sam 19 oct","2024","20h30","213 Productions présente","+ La Ruse du Père Lafeinte"
"Novembre","https://www.lesarcs.bzh/spectacles/robert-finley/","https://www.lesarcs.bzh/wp-content/uploads/2024/05/robert-finley-listing-24-25.jpg","Robert Finley","Blues Soul","ven 08 nov","2024","20h30","Dans le cadre du fesTival ""Les IndisciplinéEs""","+ Muddy Gurdy"
"","https://www.lesarcs.bzh/spectacles/chicago-blues-festival-2024/","https://www.lesarcs.bzh/wp-content/uploads/2024/05/chicago-blues-listing-24-25.jpg","Chicago Blues Festival 2024","Blues","sam 23 nov","2024","20h30","Avec Stephen Hull • Sheryl Youngblood • Dave Herrero","+ KEPA"
"Décembre","https://www.lesarcs.bzh/spectacles/tiken-jah-fakoly/","https://www.lesarcs.bzh/wp-content/uploads/2024/05/tiken-jah-fakoly-listing-24-25.jpg","Tiken Jah Fakoly","Reggae","ven 06 déc","2024","20h30","","+ Jahkasa"
"Février","https://www.lesarcs.bzh/spectacles/clara-yse/","https://www.lesarcs.bzh/wp-content/uploads/2024/05/clara-yse-listing-24-25.jpg","Clara Ysé","Chanson","sam 01 fév","2025","20h30","","+ Paul Barreyre"
"","https://www.lesarcs.bzh/spectacles/olivia-ruiz/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20900%20600'%3E%3C/svg%3E","Olivia Ruiz","Chanson","ven 07 fév","2025","20h30","","+ Léman"
"","https://www.lesarcs.bzh/spectacles/alain-chamfort/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20900%20600'%3E%3C/svg%3E","Alain Chamfort","Chanson","ven 28 fév","2025","20h30","“Le meilleur de moi-même”",""
"Mars","https://www.lesarcs.bzh/spectacles/tanguy-pastureau/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20900%20600'%3E%3C/svg%3E","Tanguy Pastureau","Humour","sam 08 mars","2025","20h30","présenTé par 213 ProducTions",""
"","https://www.lesarcs.bzh/spectacles/ballake-sissoko-piers-faccini/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20900%20600'%3E%3C/svg%3E","Ballaké Sissoko • Piers Faccini","Chanson","sam 15 mars","2025","20h30","","+ Ledeunff"
"","https://www.lesarcs.bzh/spectacles/nora-hamzawi-2/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20900%20600'%3E%3C/svg%3E","Nora Hamzawi","Humour","ven 21 mars","2025","20h","présenTé par Arsenal ProducTions",""
"Avril","https://www.lesarcs.bzh/spectacles/benjamin-tranie/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20900%20600'%3E%3C/svg%3E","Benjamin Tranié","Humour","ven 04 avr","2025","20h30","présenTé par Arsenal ProducTions en accord avec Agapè et SPG Records",""
"","https://www.lesarcs.bzh/spectacles/keziah-jones/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20900%20600'%3E%3C/svg%3E","Keziah Jones","Blufunk Soul","sam 05 avr","2025","20h30","","+ Xavier Polycarpe"
"","https://www.lesarcs.bzh/spectacles/waly-dia/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20900%20600'%3E%3C/svg%3E","Waly Dia","Humour","sam 26 avr","2025","20h","présenTé par Arsenal ProducTions et AZ Prod en accord avec KWET",""
"Mai","https://www.lesarcs.bzh/spectacles/camille/","data:image/svg+xml,%3Csvg%20xmlns='http://www.w3.org/2000/svg'%20viewBox='0%200%20900%20600'%3E%3C/svg%3E","Camille","Chanson","ven 16 mai","2025","20h30","",""