"uk-card href","tk-card-image src","uk-text-bold","uk-padding-small 2","uk-padding-small 3"
"https://billetterie-concarneauscenes.tickandlive.com/reserver/kareen-guiock-thuram/95575","https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/78274a4cb834e37ccbffadd9a8b180983e19e572.jpg","KAREEN GUIOCK THURAM","25 avril 2025 - 21:00","Tribute to Nina Simone"
"https://billetterie-concarneauscenes.tickandlive.com/reserver/le-malade-imaginaire/95844","https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/09c78bf994d4e5b66cef3df164e4e3aa66a96b1c.jpg","LE MALADE IMAGINAIRE","29 novembre 2024 - 21:00","Théâtre"
"https://billetterie-concarneauscenes.tickandlive.com/reserver/les-sea-girls/94953","https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/96ead31df1a172b479f4f237c09edd1cd1b36bf7.jpg","LES SEA GIRLS","30 mars 2025 - 17:30","Chanson humouristique"
"https://billetterie-concarneauscenes.tickandlive.com/reserver/les-variations-silencieuses/96305","https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/628e9d79dd3cd4d930c69f198f6bb07da562f9b7.jpg","LES VARIATIONS SILENCIEUSES","14 mars 2025 - 21:00","Théâtre"
"https://billetterie-concarneauscenes.tickandlive.com/reserver/mo-kalamity/95573","https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/943060e3cf87e958d61b612fc5d8f2717bc43543.jpg","MO' KALAMITY","02 novembre 2024 - 21:00","Konkernoize #3"
"https://billetterie-concarneauscenes.tickandlive.com/reserver/operation-bretzel/94342","https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/8761569870870e2faffb69d725cdb0be2a0cf113.jpg","OPERATION BRETZEL","04 octobre 2024 - 21:00","Oldelaf et Arnaud Joyet"
"https://billetterie-concarneauscenes.tickandlive.com/reserver/parpaing/95843","https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/e3ad627e2b0219d484013052411e1ccf44e2fb93.jpg","PARPAING","24 janvier 2025 - 21:00","Théâtre"
"https://billetterie-concarneauscenes.tickandlive.com/reserver/poil-de-carotte-poil-de-carotte/96309","https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/72614968b0028b6bcf0cd99ed29998cc53511e0d.jpg","POIL DE CAROTTE POIL DE CAROTTE","26 janvier 2025 - 17:30","Théâtre"
"https://billetterie-concarneauscenes.tickandlive.com/reserver/sarah-mccoy/95750","https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/7135c5dc6d2c564eff3046b31e074b4828c24d2f.jpg","SARAH McCOY","07 mai 2025 - 21:00","HIGH PRIESTESS"
"https://billetterie-concarneauscenes.tickandlive.com/reserver/shantel/94344","https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/96f936bd5a7095b1e3654200dccd90a20a138cce.jpg","SHANTEL & BUCOVINA CLUB","23 mai 2025 - 21:00","1re partie : ŚLIVOVITSǍ"
"https://billetterie-concarneauscenes.tickandlive.com/reserver/sniper-premieres-parties/94307","https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/a7499daf1a8102fba1edb15f968c38bc41e7d27f.jpg","SNIPER + 1res parties","18 octobre 2024 - 21:00","Groupe de hip-hop français"
"https://billetterie-concarneauscenes.tickandlive.com/reserver/veranda/95845","https://billetterie-concarneauscenes.tickandlive.com/media/cache/front_homepage_selection/images/23e6c2ebd9db542e262955751a3d492481655c97.jpg","VERANDA","21 novembre 2024 - 21:00","Musique Bluegrass"