"rotation href","adapt-img src","titre","jour","mois","sep 2","jour 2","mois 2","annee","genre"
"https://www.lacarene.fr/ateliers-afrobeat-ethno-jazz-1626.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/30/2b70f5666229809d420b081b8a8c14.jpg?1720777195","Ateliers Afrobeat / Ethno-Jazz","12","09","au","26","06","25","Atelier"
"https://www.lacarene.fr/allez-on-joue-le-ukulele.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/4c/01669bafb4c52143cc694717b73980.jpg?1721142591","Allez on joue ! Le Ukulélé","21","09","","","","24","Atelier"
"https://www.lacarene.fr/starting-blocks-de-fete-les-20-ans-de-muraille-music.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/d4/e00b7f8f4056dd0b6836f0c1b8d222.jpg?1720777195","Starting Blocks : ""Dé-Fête"", les 20 ans de Murailles Music","26","09","","","","24","Concert"
"https://www.lacarene.fr/le-rayon-extraordinaire-de-thomas-poli-flavien-thery-fred-murie.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/c7/7badab3a03e34429accc52588c133e.jpg?1720777195","Le Rayon Extraordinaire de Thomas Poli, Flavien Théry (…)","27","09","","","","24","Hors les murs"
"https://www.lacarene.fr/nebulah-radio-party-tatyana-jane-celine-sundae-clint-julien-tine-just-jul.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/30/761ef5fbca5346560752d1252e9d71.jpg?1721228610","Nébulah Radio Party : Tatyana Jane + Céline Sundae + (…)","28","09","","","","24","Concert"
"https://www.lacarene.fr/midi-demi-laura-perrudin.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/d2/c75e2a7313707ba8fc9993d0828610.jpg?1721036895","Midi & Demi : Laura Perrudin","02","10","","","","24","Concert"
"https://www.lacarene.fr/fleuves-3-release-party.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/25/a735504edea5411a9469b0c54ae25d.jpg?1721036895","Fleuves #3 : Release Party","05","10","","","","24","Concert"
"https://www.lacarene.fr/band-de-brestoazzz-tunnels-band-of-bitchies-zoubir-bhamsaduta.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/f3/0bae845b7d6433e00cc0c9be7113e4.jpg?1721036895","Band De Brestoazzz : Tunnels / Band Of Bitches / Zoubir (…)","11","10","","","","24","Concert"
"https://www.lacarene.fr/le-bunker-brestois-1641.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/bd/22cbc909c4864f0c19a3708c8cd701.jpg?1721332791","Le Bunker Brestois","18","10","au","19","10","24",""
"https://www.lacarene.fr/komodrag-the-mounodor-super-show-howlin-jaws.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/8b/1e15eb23c22bf93f6c312a74eab38c.jpg?1721036895","Komodrag & The Mounodor Super Show + Howlin’ Jaws","25","10","","","","24","Concert"
"https://www.lacarene.fr/the-psychotic-monks-parlor-snakes.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/f2/8130ada077324f525bfbabb8ddbf42.jpg?1721036895","The Psychotic Monks + Parlor Snakes","26","10","","","","24","Concert"
"https://www.lacarene.fr/kompromat.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/54/8b602e2c1fde93f56b5f99e9325099.jpg?1721228610","Kompromat","31","10","","","","24",""
"https://www.lacarene.fr/midi-demi-oda.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/65/bd098d9e12d341f13af59e8e7f969d.jpg?1721036895","Midi & Demi : oda.","06","11","","","","24","Concert"
"https://www.lacarene.fr/flavia-coelho.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/60/5921d3307b41e309fb4e86e39f7184.jpg?1721036895","Flavia Coelho","08","11","","","","24","Concert"
"https://www.lacarene.fr/les-femmes-s-en-melent-thsegue-laventure.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/22/6d6aef234ffb64bf05d21298726f09.png?1721036895","Les Femmes s’en Mêlent : THSEGUE + LAVENTURE","09","11","","","","24","Concert"
"https://www.lacarene.fr/animaux-totem-1637.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/07/bf210c0d06bda98eda08155c13d423.jpg?1721036895","Animaux Totem","13","11","","","","24","Jeune public"
"https://www.lacarene.fr/music-all-open-mic-1635.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/cb/e51742ddcaa0069e1bfe60a7ad4dfb.jpg?1721036895","Music’All : Open Mic","14","11","","","","24","Autre"
"https://www.lacarene.fr/metalearth-festival-3-jour-1.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/20/4dc8a2c91b980ff4c001251f87605a.jpg?1721036895","Metalearth Festival #3 : JOUR 1","15","11","au","16","11","24","Concert"
"https://www.lacarene.fr/stage-chant-sature-2.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/b8/e653f3a67ef13b5f7a3bf134cd0d9d.jpg?1721036895","Stage chant saturé #2","16","11","","","","24","Atelier"
"https://www.lacarene.fr/metalearth-festival-3-jour-2.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/78/c4795d9173293af6c64ecab5bf4ec2.jpg?1721036895","Metalearth Festival #3 : JOUR 2","16","11","au","17","11","24","Concert"
"https://www.lacarene.fr/developper-son-projet-musical.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/0f/6c539800571d637f9d936723b8f828.jpg?1721036895","Développer son projet musical","19","11","","","","24","Rencontre"
"https://www.lacarene.fr/festival-invisible-soiree-bitume.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/6f/961cfa7b650e00870c93fc7d1a0263.jpg?1721332792","Festival Invisible : Soirée Bitume","22","11","","","","24","Concert"
"https://www.lacarene.fr/festival-invisible-soiree-costume.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/db/2532d90ee5a04d34aaf420117f6aee.jpg?1721332791","Festival Invisible : Soirée Costume","23","11","","","","24","Concert"
"https://www.lacarene.fr/technique-de-prise-de-son.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/33/cb0568f5bacac448d7da9801d27dd0.jpg?1721036895","Technique de prise de son","25","11","au","29","11","24","Formation"
"https://www.lacarene.fr/rendez-vous-servo.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/93/12ef4c14b3f6d51ba6b0c905c28b2a.jpg?1721036895","Rendez-Vous + Servo","29","11","","","","24","Concert"
"https://www.lacarene.fr/tindersticks.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/f6/fbe1a1af5e5f0559ebb38082312f14.jpg?1721036895","Tindersticks","30","11",,,,"24","Hors les murs"
"https://www.lacarene.fr/technique-de-mixage.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/c3/6142df803f194df13107933bdc158f.jpg?1721036895","Technique de mixage","02","12",,,,"24","Formation"
"https://www.lacarene.fr/midi-demi-3-14air.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/a1/2fee4ba98260fd69e207346529eb4f.jpg?1721036895","Midi & Demi : 3.14AIR","04","12",,,,"24","Concert"
"https://www.lacarene.fr/olivia-ruiz-cheri.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/96/23c2e991e01aadb00c871ca6482933.jpg?1721036895","Olivia Ruiz + Chéri","06","12",,,,"24","Concert"
"https://www.lacarene.fr/reussir-vos-prises-de-son-en-home-studio.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/b2/d00fe36a9ebdef78e4ebcca545a4e8.jpg?1721036895","Réussir vos prises de son en Home Studio","07","12",,,,"24","Atelier"
"https://www.lacarene.fr/yodelice.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/65/3bc3caf8c431550b66a44fc8268322.jpg?1721036895","Yodelice","07","12",,,,"24","Concert"
"https://www.lacarene.fr/kimberose.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/e7/6d11cf464234c5da15e600e3891a65.jpg?1721071438","Kimberose","11","12",,,,"24","Concert"
"https://www.lacarene.fr/festival-noborder-14.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/a8/efadab8eff51afae25521da2dcecc5.png?1721806527","Festival NoBorder #14","14","12",,,,"24",""
"https://www.lacarene.fr/vos-droit-a-la-formation-avec-l-afdas.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/0a/d0c3cf5c46ebc5fbf5f0710cdb88b9.jpg?1721071438","Vos droit à la formation avec l’AFDAS","15","12",,,,"24","Rencontre"
"https://www.lacarene.fr/slift.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/1f/eccf328c2299384eb0106d280d2a6b.png?1721071438","Slift","18","01",,,,"25","Concert"
"https://www.lacarene.fr/gringe.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/42/c25eae2484d76924d99739fb2e4123.png?1721071438","Gringe","25","01",,,,"25","Concert"
"https://www.lacarene.fr/clara-yse.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/e2/e288f413eaf80180494542e024d9a7.jpg?1721071438","Clara Ysé","14","02",,,,"25","Concert"
"https://www.lacarene.fr/solann.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/c0/344dbb0108ba7ae560944029408cd7.jpg?1721071438","Solann","06","03",,,,"25","Concert"
"https://www.lacarene.fr/hatik.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/a8/9072b80d1ad05ce74a4754311b3381.jpg?1721071438","Hatik","14","03",,,,"25","Concert"
"https://www.lacarene.fr/orange-blossom.html","https://www.lacarene.fr/local/adapt-img/230/10x/local/cache-gd2/f6/dcc4e28eb38fcb77d7460dc377fa2e.jpg?1721071438","Orange Blossom","20","03",,,,"25","Concert"