"map-date","titre_francais","titre_breton","map-liste-adresse-val"
"26/10/2024","Animation Halloween en breton","Buhezadenn Samhain e brezhoneg","Ti Liamm, Rue Pierre Jacob dit Talcoat, Clohars-Carnoët"
"31/10/2024","L'EFFROYABLE MARIAGE DU COMTE DE TRANCYLVANIA","L'EFFROYABLE MARIAGE","Chateau de Kerambleiz, Quimper"
"24/10/2024","Fest-Noz de l'ASCREB","Fest-Noz de l'ASCREB","Salle Mirabeau : rue Louis Arretche, Rennes"
"30/10/2024","Fête de la Samain","Fête de la Samain","Ti ar Vro - L'Ôté, 138 rue du Légué, Saint-Brieuc"
"29/10/2024","Stummadur war c'hoarioù Breizh","Stummadur war c'hoarioù Breizh","Ti ar Vro - L'Ôté, 138 rue du Légué, Saint-Brieuc"
"19/10/2024","Atelier cuisine en breton","Atelier cuisine en breton","8 contour Saint-Aubin, Rennes"
"27/10/2024","Projection du film Zombillénium en breton","Projection du film Zombillénium en breton","40 Boulevard Clemenceau, Saint-Brieuc"
"22/10/2024","Atelier plantes (jeux) et argile",,"3 esplanade Famille Gabaï, 29000 Quimper ·, quimper"
"20/06/2025","Session de musique bretonne",,"Ti ar Vro - L'Ôté, 138 rue du Légué, Saint-Brieuc"
"07/06/2025","Deomp da C'hoari",,"Ti ar Vro - L'Ôté, 138 rue du Légué, Saint-Brieuc"
"10/05/2025","Deomp da C'hoari",,"Ti ar Vro - L'Ôté, 138 rue du Légué, Saint-Brieuc"
"12/04/2025","Deomp da C'hoari",,"Ti ar Vro - L'Ôté, 138 rue du Légué, Saint-Brieuc"
"08/03/2025","Deomp da C'hoari",,"Ti ar Vro - L'Ôté, 138 rue du Légué, Saint-Brieuc"
"08/02/2025","Deomp da C'hoari",,"Ti ar Vro - L'Ôté, 138 rue du Légué, Saint-Brieuc"
"18/10/2024","Session de musique bretonne",,"Ti ar Vro - L'Ôté, 138 rue du Légué, Saint-Brieuc"
"15/11/2024","Session de musique bretonne",,"Ti ar Vro - L'Ôté, 138 rue du Légué, Saint-Brieuc"
"20/12/2024","Session de musique bretonne",,"Ti ar Vro - L'Ôté, 138 rue du Légué, Saint-Brieuc"
"17/01/2025","Session de musique bretonne",,"Ti ar Vro - L'Ôté, 138 rue du Légué, Saint-Brieuc"
"21/02/2025","Session de musique bretonne",,"Ti ar Vro - L'Ôté, 138 rue du Légué, Saint-Brieuc"
"21/03/2025","Session de musique bretonne",,"Ti ar Vro - L'Ôté, 138 rue du Légué, Saint-Brieuc"
"18/04/2025","Session de musique bretonne",,"Ti ar Vro - L'Ôté, 138 rue du Légué, Saint-Brieuc"
"16/05/2025","Session de musique bretonne",,"Ti ar Vro - L'Ôté, 138 rue du Légué, Saint-Brieuc"
"20/06/2025","Digor-kalon e brezhoneg • Apéritif en breton",,"101 Croix Luc, Bannalec"